Text,IsToxic,text_clean,text_stemmed,augmented
"Muslims from the UK, are with our black brothers & Sisters in America. ",0,muslim black brother sister america,muslim black brother sister america,original
"This guy an idiot, if that's the best you can do, you have lost already!!  WHAT A BOZO!!",1,"Idiot boy, you better get lost now bozo",guy idiot that best lost alreadi bozo,back_translation
"Fascinating to hear actual facts, especially compared with the twisted nonsense coming out of the main media outlets.",0,fascinating hear actual fact especially compared twisted nonsense coming main medium outlet,fascin hear actual fact especi compar twist nonsens come main medium outlet,original
"""Almost floor shaving quality cigars...""



Cmon on, keep the sensationalism down can you?


Other than that one comment, this video is perfect. Well thought out, well put.",0,almost floor shaving quality cigar cmon keep sensationalism one comment video perfect well thought well put,almost floor shave qualiti cigar cmon keep sensation one comment video perfect well thought well put,original
"What a waste of time talking to that idiot. ""You know what Im sayin."" ""I'll believe what I want to believe.""- Yup- hell with facts or evidence. Loser.",1,waste time talking idiot know say sick believe I want to believe yes hell fact evidence loser,wast time talk idiot know sayin ill believ want believ yup hell fact evid loser,back_translation
Why didnt the police do their jobs and arrest these idiots for blocking a public road???  This is ridiculous and these people should have been arrested or ran over for being too stupid to not be on the freeway!,1,didnt police job arrest idiot blocking public road ridiculous people arrested ran stupid freeway,didnt polic job arrest idiot block public road ridicul peopl arrest ran stupid freeway,original
"As I watched I kept muttering shoot, shoot, pull the trigger. Rubber bullets hurt like a MFer.",1,watched kept muttering shoot shoot pull trigger rubber bullet hurt like mfer,watch kept mutter shoot shoot pull trigger rubber bullet hurt like mfer,original
"Great video. Although I wish he would've focused more on all the shit police are doing, because that's the only thing keeping the rioters and their supporters from being complete idiots.",1,"Great video, although I wish they had focused on the shitty police, that's what keeps the rioters' supporters looking like complete idiots.",great video although wish wouldv focus shit polic that thing keep rioter support complet idiot,back_translation
someone should have taken one for the team and plowed right through them,1,someone taken one team plowed right,someon taken one team plow right,original
"Everyone saying there is only black people there, there are white people, a white woman who got shot with a rubber bullet came out the next day and two of the black people where helping her walk.",0,everyone saying black people white people white woman got shot rubber bullet came next day two black people helping walk,everyon say black peopl white peopl white woman got shot rubber bullet came next day two black peopl help walk,original
"mmh 2 years already, still the same moronic bullshit going on in your shit ass country",1,mmh year already still moronic bullshit going shit as country,mmh year alreadi still moron bullshit go shit as countri,original
bear mace and gas pedal,1,bear mace accelerator pedal,bear mace ga pedal,back_translation
This guy is a moron.,1,idiot boy,guy moron,back_translation
Jimmy Dore is a dickhead squared.,1,jimmy dore dickhead squared,jimmi dore dickhead squar,original
Should run all those MOTHERFUCKERS  OVER,1,run son of a bitch,run motherfuck,back_translation
"A lot of people and the entire media is missing this huge crucial point: WHY was Micheal Brown even stopped in the first place??? The day it happened, the officer said that it was because Mike Brown was walking in the street. Then a few days later, it was because he had robbed a convenience store. Despite the fact that owner himself says that his store was never robbed. The officer was apparently in fear for his life. The PD claims he was ""seriously injured"" in the altercation with Mike Brown. Even though there is a video showing the officer, perfectly fine, standing by Mike's body an hour after the shooting. Also, Mike's body was 35 feet away from where the officer was when Mike apparently ""charged"" at him. Man, the police are full of shit. If you can't see that this shit was made up, then you're either a bigot or just a fucking idiot. ",1,"A lot of people, the whole middle, missing a huge crucial point, Michael Brown, even stopped in the first place, the day it happened, the officer said, Mike Brown, pedestrian street, day after, robbed the convenience store even though the owner says the store never robbed, the officer apparently fears, claims life, seriously injured, altercation, Mike Brown, even though the video shows the officer standing perfectly well.",lot peopl entir medium miss huge crucial point micheal brown even stop first place day happen offic said mike brown walk street day later rob conveni store despit fact owner say store never rob offic appar fear life claim serious injur alterc mike brown even though video show offic perfectli fine stand mike bodi hour shoot also mike bodi foot away offic mike appar charg man polic full shit cant see shit made your either bigot fuck idiot,back_translation
he can go back where he's from period big mouth MORON,1,back he period big mouth moron,back he period big mouth moron,original
"That Arab is rapping 3:14
Go ahead bro....LOL
So getto he is",1,arab rapping ahead brolol getto,arab rap ahead brolol getto,back_translation
Fucking savages! Protest sumthing real... Like how your government is robbing you and sendin your kids to an elegal WAR! You are the laughing stock of America congrats!,1,fucking wild protest something real like the government stealing send child war classy laughing stock america congratulations,fuck savag protest sumth real like govern rob sendin kid eleg war laugh stock america congrat,back_translation
bassem I think walmart is hiring for the holidays. get a job loser!!!,1,bassem think walmart hiring holiday get job loser,bassem think walmart hire holiday get job loser,original
Wrong Mother Fucker. No shoot to apprehend,1,wrong motherfucker shoot apprehend,wrong mother fucker shoot apprehend,back_translation
"The music references sex, drugs, stealing, murder, etc.

...ya, pretty much all rap music is like that",0,music reference sex drug stealing murder etc pretty much rap music like,music refer sex drug steal murder etc pretti much rap music like,original
They should have protest in furgison not in So Cal. Take the fight to wear it started,0,protest furgison cal take fight wear started,protest furgison cal take fight wear start,original
" I dont understand why the black community wants to rally behind a wanna be thug. When the video of the guy robbing the store came out, I would have thought most of the protesters would have gone home. Michael Brown was a turd. This crowd is full of racist, who hate the white community.",1,I don't understand the black community I want demonstration behind I want thug video guy robbing store wine I thought protester would have gone home michael brown complete shit crowd racist hate white community,dont understand black commun want ralli behind wanna thug video guy rob store came would thought protest would gone home michael brown turd crowd full racist hate white commun,back_translation
Is there something wrong with her voice?,0,something wrong voice,someth wrong voic,original
"Mike browns father does NOT buy into it....he got caught on video saying ""Burn the bitch down"" reffering to Ferguson................and this dude you are interviwing is just a thug and should not be given air time.............",1,mike brown father buy ithe got caught video saying burn bitch reffering fergusonand dude interviwing thug given air time,mike brown father buy ith got caught video say burn bitch reffer fergusonand dude interviw thug given air time,original
"As a white guy, if you are really concerned with the plight of the black community (which I doubt that you are) you should spend some time just hanging around black guys in the community just to see how the world reacts to them and how they react to the world.  And not just a few times either.  Secondly, if you think anyone even hoped up on drugs charges after feeling a gunshot after at first fleeing a shooter, what kind of fantasy do you live in.  You must think blacks will do shit anything with a survival mechanism in this world would not do.   Police officers doing the right thing gives us comfort in our lives and you want to believe the cops story.  

Here is another story cop gets out to start some cop harassment type antics (as all cops do).  Kid gives him some 18 year old fat fuck that thinks he can whip everybody's ass sass.   He hits the kid with the door, dumb ass kid instead of passing out and getting the officer fired and paid and a few dollars for his injuries, pushes the door back.  Officer grabs him by the neck and a scuffle incurs.  Kid fires a punch to his grill.  Black guys hit pretty hard (see boxing) and the cop sees red.  Opens fire.  Kid runs. 15 feet is about how far his ass can get before his body reminds his fat ass he is not a sprinter or maybe the shots are starting to set in, now he wants to negotiate.  Cop executes him.  Is it lawful....., maybe, but my story makes more sense.",1,white guy really concerned plight black community doubt spend time hanging around black guy community see world reacts react world time either secondly think anyone even hoped drug charge feeling gunshot first fleeing shooter kind fantasy live must think black shit anything survival mechanism world would police officer right thing give comfort life want believe cop story another story cop get start cop harassment type antic cop kid give year old fat fuck think whip everybodys as sas hit kid door dumb as kid instead passing getting officer fired paid dollar injury push door back officer grab neck scuffle incurs kid fire punch grill black guy hit pretty hard see boxing cop see red open fire kid run foot far as get body reminds fat as sprinter maybe shot starting set want negotiate cop executes lawful maybe story make sense,white guy realli concern plight black commun doubt spend time hang around black guy commun see world react react world time either secondli think anyon even hope drug charg feel gunshot first flee shooter kind fantasi live must think black shit anyth surviv mechan world would polic offic right thing give comfort life want believ cop stori anoth stori cop get start cop harass type antic cop kid give year old fat fuck think whip everybodi as sa hit kid door dumb as kid instead pass get offic fire paid dollar injuri push door back offic grab neck scuffl incur kid fire punch grill black guy hit pretti hard see box cop see red open fire kid run foot far as get bodi remind fat as sprinter mayb shot start set want negoti cop execut law mayb stori make sens,original
".     Leaving out information when giving a police report because they didn't ask you for that info, *is* lying by omission. That's why it's not outright lying......because you omitted the information. These are some stupid lawyers.",1,leaving information giving police report didnt ask info lying omission thats outright lyingbecause omitted information stupid lawyer,leav inform give polic report didnt ask info lie omiss that outright lyingbecaus omit inform stupid lawyer,original
wtf,0,wtf,wtf,original
someone should have taken one for the team and plowed right through them,1,someone took a plow team to the right,someon taken one team plow right,back_translation
"In France, when I was in the military, they taught me that we could use a lethal weapon only if the other uses a similar/equal or superior lethal weapon against us or against another to defend ourselves; using a superior weapon is NOT/NEVER allowed.
I think that's a Noble French concept. B)",0,france military taught could use lethal weapon us similarequal superior lethal weapon another defend using superior weapon notnever allowed think thats noble french concept,franc militari taught could use lethal weapon us similarequ superior lethal weapon anoth defend use superior weapon notnev allow think that nobl french concept,original
Look up Mike brown world instrumental,0,look mike brown world instrumental,look mike brown world instrument,original
"Remember,the looting(stealing) by the blacks is purely and only to gain free goods.All in the name of Mike Brown.Yea right.It's an excuse to steal-pure and simple.A good ,concise introspective Steffan.Some folks live off grievance.This follows perfectly after the white guilt segment.Keep em rollin.",1,"remember looting, robbing blacks, purely to get free goods, everyone's name is mike brown, yes that's right, his excuse for stealing, pure simple, a nice concise introspective from steffan, some people live aggrieved, this follows a perfectly white guilt segment, keep rolling.",rememberth lootingst black pure gain free goodsal name mike brownyea rightit excus stealpur simplea good concis introspect steffansom folk live grievancethi follow perfectli white guilt segmentkeep rollin,back_translation
"I do understand their anger, but war is not the answer!",0,understand anger war answer,understand anger war answer,original
"0:10 legend has it that he is still yelling ""move""",0,legend still yelling move,legend still yell move,original
If I was there I will sue them for the time they wast ...,0,sue time wast,sue time wast,original
Michael Brown was a THUG! God bless the Thin Blue Line!! I graduate from the police academy in December!,1,michael brown thug god bless thin blue line graduate police academy december,michael brown thug god bless thin blue line graduat polic academi decemb,back_translation
the only difference is the color of your skin. do people still say that?,0,difference color skin people still say,differ color skin peopl still say,original
This moron is talking about being peaceful?  Their burning the nation's flag idiot.  Even though that's what you are suppose to do when it's old so they have no knowledge.  They are babies making noise. ,1,idiot talking peaceful burn the flag of the nation idiot even though that's supposed to be old knowledge baby making noise,moron talk peac burn nation flag idiot even though that suppos old knowledg babi make nois,back_translation
"You know its crazy.... I actually came across your video about bitcoin while trying to learn more about it and knew you looked familiar.... I took the time to look at some of Mike Browns personal profiles myself specifically his soundcloud. While I do think he is guilty of representing himself in the wrong light and maybe of stealing he still didn't deserve to die. The fact that WHITE people like yourself continued to insinuate it is ridiculous and shows your clear lack of empathy and sympathy. It seems you all are more like the ""animals"" you think we are..... And its especially offensive looking back at these videos 3 years later when hip/hop rnb (OUR BLACK CULTURE) is the biggest thing and media and you still dont understand our perspectives. To say Trayvon Martin was making lean in on of your other videos shows how ignorant you truly are as well. Sprite or Fanta or a CARBONATED DRINK is used when making lean....Not tea....",1,know crazy actually came across video bitcoin trying learn knew looked familiar took time look mike brown personal profile specifically soundcloud think guilty representing wrong light maybe stealing still didnt deserve die fact white people like continued insinuate ridiculous show clear lack empathy sympathy seems like animal think especially offensive looking back video year later hiphop rnb black culture biggest thing medium still dont understand perspective say trayvon martin making lean video show ignorant truly well sprite fanta carbonated drink used making leannot tea,know crazi actual came across video bitcoin tri learn knew look familiar took time look mike brown person profil specif soundcloud think guilti repres wrong light mayb steal still didnt deserv die fact white peopl like continu insinu ridicul show clear lack empathi sympathi seem like anim think especi offens look back video year later hiphop rnb black cultur biggest thing medium still dont understand perspect say trayvon martin make lean video show ignor truli well sprite fanta carbon drink use make leannot tea,original
The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,1,world changing mad police dam isi gonna come thats time kill faucks,world chang mad polic dam isi gonna come that time kill fauck,original
Protesters suck,1,protester suck,protest suck,original
"Mr. Smerconish, you Sir, are not a journalist. NO journalists say or claim to the interview object that he/she is searching for 15mins of fame just for being a part of the interview. And/or just because he/she did not speak in the direction you wanted them to.
- If anything, it is you trying to DEFAME a person. And that is illegal! And you should definitively serve time for that! 
You should go back to school because it is truly obvious that you do not handle the word of mouth with care NOR are you critical enough of the Authorities!
Why would you wait for tons of paper that shows what we all know...That he INDEED ran, stopped, hands in the air and got shot, multiple times. There should be no doubt from your side that this happened if the witnesses says so. There should be, however, an investigative journalist who goes out and ask the people.

Your opinion is NOT superior! GET OFF YOUR CHAIR AND GO OUT AND DO SOME REAL REPORTING!  SHAME ON YOU!!! And SHAME ON CNN FOR NOT HIRING PROFESSIONALS!!",1,smerconish mr journalist journalist says claim interview object heshe looking min fame part interview walk heshe talk address wanted anything try defame person illegal definitely serve time back to school really obvious handle word mouth care critical enough authority would expect ton paper show know actually ran arrested hand air shot several times doubt side happened witness say however investigative journalist go ask people top opinion get real chair reports shame shame cnn hiring professional,smerconish sir journalist journalist say claim interview object hesh search min fame part interview andor hesh speak direct want anyth tri defam person illeg definit serv time back school truli obviou handl word mouth care critic enough author would wait ton paper show knowthat inde ran stop hand air got shot multipl time doubt side happen wit say howev investig journalist go ask peopl opinion superior get chair real report shame shame cnn hire profession,back_translation
"The new episode of SNL

also i feel sorry for thy guy at 3:53",0,new episode snl also feel sorry thy guy,new episod snl also feel sorri thi guy,original
Would’ve been satisfying if someone threw a Molotov in the middle of the group.,1,wouldve satisfying someone threw molotov middle group,wouldv satisfi someon threw molotov middl group,original
awesome job from our law enforcement now send off to disrupt & tear down all the Islamic extremist radicals in America thanks....,1,amazing job law enforcement send interrupt tear extremist islamic radical america thank you,awesom job law enforc send disrupt tear islam extremist radic america thank,back_translation
